name(‘å•¶Žš),x,y,population(–œ),space(km^2),The population density
SEA,1,1,0,0,0
SEA,1,2,0,0,0
SEA,1,3,0,0,0
SEA,1,4,0,0,0
SEA,1,5,0,0,0
SEA,1,6,0,0,0
SEA,1,7,0,0,0
SEA,1,8,0,0,0
SEA,1,9,0,0,0
SEA,1,10,0,0,0
SEA,1,11,0,0,0
SEA,1,12,0,0,0
SEA,1,13,0,0,0
SEA,1,14,0,0,0
HOKKAIDO,1,15,529,78421,67.4
SEA,2,1,0,0,0
SEA,2,2,0,0,0
SEA,2,3,0,0,0
SEA,2,4,0,0,0
SEA,2,5,0,0,0
SEA,2,6,0,0,0
SEA,2,7,0,0,0
SEA,2,8,0,0,0
SEA,2,9,0,0,0
SEA,2,10,0,0,0
SEA,2,11,0,0,0
SEA,2,12,0,0,0
SEA,2,13,0,0,0
SEA,2,14,0,0,0
SEA,2,15,0,0,0
SEA,3,1,0,0,0
SEA,3,2,0,0,0
SEA,3,3,0,0,0
SEA,3,4,0,0,0
SEA,3,5,0,0,0
SEA,3,6,0,0,0
SEA,3,7,0,0,0
SEA,3,8,0,0,0
SEA,3,9,0,0,0
SEA,3,10,0,0,0
SEA,3,11,0,0,0
SEA,3,12,0,0,0
SEA,3,13,0,0,0
AOMORI,3,14,126,9646,131
SEA,3,15,0,0,0
SEA,3,1,0,0,0
SEA,3,2,0,0,0
SEA,4,3,0,0,0
SEA,4,4,0,0,0
SEA,4,5,0,0,0
SEA,4,6,0,0,0
SEA,4,7,0,0,0
SEA,4,8,0,0,0
SEA,4,9,0,0,0
SEA,4,10,0,0,0
SEA,4,11,0,0,0
SEA,4,12,0,0,0
SEA,4,13,0,0,0
AKITA,4,14,98,11638,84
IWATE,4,15,124,15275,81
SEA,4,1,0,0,0
SEA,5,2,0,0,0
SEA,5,3,0,0,0
SEA,5,4,0,0,0
SEA,5,5,0,0,0
SEA,5,6,0,0,0
SEA,5,7,0,0,0
SEA,5,8,0,0,0
SEA,5,9,0,0,0
SEA,5,10,0,0,0
SEA,5,11,0,0,0
SEA,5,12,0,0,0
SEA,5,13,0,0,0
YAMAGATA,5,14,109,9323,117
MIYAGI,5,15,231,7282,318
SEA,5,1,0,0,0
SEA,6,2,0,0,0
SEA,6,3,0,0,0
SEA,6,4,0,0,0
SEA,6,5,0,0,0
SEA,6,6,0,0,0
SEA,6,7,0,0,0
SEA,6,8,0,0,0
SEA,6,9,0,0,0
SEA,6,10,0,0,0
SEA,6,11,0,0,0
SEA,6,12,0,0,0
SEA,6,13,0,0,0
NIIGATA,6,14,224,12584,178
FUKUSHIMA,6,15,187,13784,135
SEA,6,1,0,0,0
SEA,7,2,0,0,0
SEA,7,3,0,0,0
SEA,7,4,0,0,0
SEA,7,5,0,0,0
SEA,7,6,0,0,0
SEA,7,7,0,0,0
SEA,7,8,0,0,0
SEA,7,9,0,0,0
FUKUI,7,10,77,4191,185
ISHIWA,7,11,114,4186,273
TOYAMA,7,12,105,4248,247
GUMMA,7,13,195,6362,306
TOCHIGI,7,14,195,6408,305
SEA,7,15,0,0,0
SEA,7,1,0,0,0
SEA,8,2,0,0,0
SEA,8,3,0,0,0
SEA,8,4,0,0,0
SEA,8,5,0,0,0
SHIMANE,8,6,68,6708,101
TOTTORI,8,7,56,3507,160
SEA,8,8,0,0,0
KYOTO,8,9,259,4612,562
SHIGA,8,10,142,4017,351
GIFU,8,11,200,10621,188
NAGANO,8,12,206,13561,152
YAMANASHI,8,13,82,4465,183
