x,y,name(‘å•¶Žš),population(–œ),space(km^2),The population density,station number,activity,,,,,,,,,,,,
1,1,SEA,0,0,0,0,0,,,,,,,,,,,,
1,2,SEA,0,0,0,0,0,,,,,,,,,,,,
1,3,SEA,0,0,0,0,0,,,,,,,,,,,,
1,4,SEA,0,0,0,0,0,,,,,,,,,,,,
1,5,SEA,0,0,0,0,0,,,,,,,,,,,,
1,6,SEA,0,0,0,0,0,,,,,,,,,,,,
1,7,SEA,0,0,0,0,0,,,,,,,,,,,,
1,8,SEA,0,0,0,0,0,,,,,,,,,,,,
1,9,SEA,0,0,0,0,0,,,,,,,,,,,,
1,10,SEA,0,0,0,0,0,,,,,,,,,,,,
1,11,SEA,0,0,0,0,0,,,,,,,,,,,,
1,12,SEA,0,0,0,0,0,,,,,,,,,,,,
1,13,SEA,0,0,0,0,0,,,,,,,,,,,,
1,14,SEA,0,0,0,0,0,,,,,,,,,,,,
1,15,HOKKAIDO,529,78421,67.4,536,1.063,,,,,,,,,,,,
2,1,SEA,0,0,0,0,0,,,,,,,,,,,,
2,2,SEA,0,0,0,0,0,,,,,,,,,,,,
2,3,SEA,0,0,0,0,0,,,,,,,,,,,,
2,4,SEA,0,0,0,0,0,,,,,,,,,,,,
2,5,SEA,0,0,0,0,0,,,,,,,,,,,,
2,6,SEA,0,0,0,0,0,,,,,,,,,,,,
2,7,SEA,0,0,0,0,0,,,,,,,,,,,,
2,8,SEA,0,0,0,0,0,,,,,,,,,,,,
2,9,SEA,0,0,0,0,0,,,,,,,,,,,,
2,10,SEA,0,0,0,0,0,,,,,,,,,,,,
2,11,SEA,0,0,0,0,0,,,,,,,,,,,,
2,12,SEA,0,0,0,0,0,,,,,,,,,,,,
2,13,SEA,0,0,0,0,0,,,,,,,,,,,,5
2,14,SEA,0,0,0,0,0,,,,,,,,,,,,
2,15,SEA,0,0,0,0,0,,,,,,,,,,,,
3,1,SEA,0,0,0,0,0,,,,,,,,,,,,
3,2,SEA,0,0,0,0,0,,,,,,,,,,,,
3,3,SEA,0,0,0,0,0,,,,,,,,,,,,
3,4,SEA,0,0,0,0,0,,,,,,,,,,,,
3,5,SEA,0,0,0,0,0,,,,,,,,,,,,
3,6,SEA,0,0,0,0,0,,,,,,,,,,,,
3,7,SEA,0,0,0,0,0,,,,,,,,,,,,
3,8,SEA,0,0,0,0,0,,,,,,,,,,,,
3,9,SEA,0,0,0,0,0,,,,,,,,,,,,
3,10,SEA,0,0,0,0,0,,,,,,,,,,,,
3,11,SEA,0,0,0,0,0,,,,,,,,,,,,
3,12,SEA,0,0,0,0,0,,,,,,,,,,,,
3,13,SEA,0,0,0,0,0,,,,,,,,,,,,
3,14,AOMORI,126,9646,131,159,0.997,,,,,,,,,,,,
3,15,SEA,0,0,0,0,0,,,,,,,,,,,,
3,1,SEA,0,0,0,0,0,,,,,,,,,,,,
3,2,SEA,0,0,0,0,0,,,,,,,,,,,,
4,3,SEA,0,0,0,0,0,,,,,,,,,,,,
4,4,SEA,0,0,0,0,0,,,,,,,,,,,,
4,5,SEA,0,0,0,0,0,,,,,,,,,,,,
4,6,SEA,0,0,0,0,0,,,,,,,,,,,,
4,7,SEA,0,0,0,0,0,,,,,,,,,,,,
4,8,SEA,0,0,0,0,0,,,,,,,,,,,,
4,9,SEA,0,0,0,0,0,,,,,,,,,,,,
